"question","expectedEntryId","expectedTitle","expectedIntent","answerLengthMode","source"
"为什么讲玄武岩材料体系注意边界","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料怎么讲","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料怎么给客户讲","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料完整讲一下","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料详细讲一下","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料标准文案","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"产品体系怎么讲","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"优优无机板是什么？它和无机门、无机墙板、无机复合家具板、门墙柜一体化是什么关系？","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲怎么讲","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲怎么给客户讲","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲完整讲一下","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲详细讲一下","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲标准文案","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲标准答案","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲客户问怎么回答","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲经销商话术","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲门店怎么说","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲朋友圈怎么发","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲短视频怎么讲","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲配什么图","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲给客户看什么资料","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲和普通材料有什么区别","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"客户问产品体系怎么讲","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"给客户介绍产品体系怎么讲","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"帮我讲产品体系怎么讲","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲是不是宣传","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲有什么优势","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么讲注意边界","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系怎么给客户讲","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系完整讲一下","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系详细讲一下","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系标准文案","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"产品体系标准答案","product-system-intro","产品体系怎么讲","door","full","generated-standard-route-bank"
"价格报价怎么回答","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"多少钱？贵不贵？怎么报价？每平方多少钱？","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答怎么讲","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答怎么给客户讲","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答完整讲一下","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答详细讲一下","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答标准文案","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答标准答案","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答客户问怎么回答","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答经销商话术","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答门店怎么说","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答朋友圈怎么发","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答短视频怎么讲","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答配什么图","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答给客户看什么资料","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答和普通材料有什么区别","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"客户问价格报价怎么回答","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"给客户介绍价格报价怎么回答","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"帮我讲价格报价怎么回答","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答是不是宣传","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答有什么优势","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么回答注意边界","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么讲","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价怎么给客户讲","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价完整讲一下","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价详细讲一下","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"价格报价标准文案","price-boundary","价格报价怎么回答","dealer","full","generated-standard-route-bank"
"检测报告和参数怎么回答","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"有没有检测报告？检测值是多少？标准编号是多少？有没有证书？","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答怎么讲","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答怎么给客户讲","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答完整讲一下","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答详细讲一下","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答标准文案","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答标准答案","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答客户问怎么回答","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答经销商话术","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答门店怎么说","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答朋友圈怎么发","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答短视频怎么讲","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答配什么图","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答给客户看什么资料","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答和普通材料有什么区别","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"客户问检测报告和参数怎么回答","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"给客户介绍检测报告和参数怎么回答","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"帮我讲检测报告和参数怎么回答","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答是不是宣传","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答有什么优势","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么回答注意边界","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么讲","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数怎么给客户讲","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数完整讲一下","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数详细讲一下","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"检测报告和参数标准文案","report-proof-boundary","检测报告和参数怎么回答","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"家装、酒店、学校、医院、办公、商业、公共空间能不能用？","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景怎么讲","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景怎么给客户讲","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景完整讲一下","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景详细讲一下","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景标准文案","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景标准答案","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景客户问怎么回答","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景经销商话术","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景门店怎么说","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景朋友圈怎么发","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景短视频怎么讲","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景配什么图","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景给客户看什么资料","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景和普通材料有什么区别","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"客户问适合哪些应用场景","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"给客户介绍适合哪些应用场景","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"帮我讲适合哪些应用场景","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景是不是宣传","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景有什么优势","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"适合哪些应用场景注意边界","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"优优无机板怎么讲","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"客户问优优无机板怎么回答","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"无机板怎么讲","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"客户问无机板怎么回答","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"隔音怎么讲","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"客户问隔音怎么回答","project-scenario-router","适合哪些应用场景","waterproof","full","generated-standard-route-bank"
"施工安装怎么回答","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"怎么施工？安装复杂吗？交付周期多久？基层、收口、售后怎么讲？","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答怎么讲","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答怎么给客户讲","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答完整讲一下","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答详细讲一下","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答标准文案","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答标准答案","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答客户问怎么回答","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答经销商话术","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答门店怎么说","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答朋友圈怎么发","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答短视频怎么讲","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答配什么图","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答给客户看什么资料","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答和普通材料有什么区别","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"客户问施工安装怎么回答","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"给客户介绍施工安装怎么回答","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"帮我讲施工安装怎么回答","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答是不是宣传","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答有什么优势","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么回答注意边界","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么讲","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装怎么给客户讲","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装完整讲一下","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装详细讲一下","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"施工安装标准文案","construction-delivery-boundary","施工安装怎么回答","intro","full","generated-standard-route-bank"
"经销商第一次发客户什么","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"我是经销商，第一次给客户发什么资料？话术怎么说？","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么怎么讲","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么怎么给客户讲","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么完整讲一下","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么详细讲一下","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么标准文案","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么标准答案","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么客户问怎么回答","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么经销商话术","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么门店怎么说","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么朋友圈怎么发","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么短视频怎么讲","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么配什么图","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么给客户看什么资料","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么和普通材料有什么区别","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"客户问经销商第一次发客户什么","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"给客户介绍经销商第一次发客户什么","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"帮我讲经销商第一次发客户什么","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么是不是宣传","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么有什么优势","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"经销商第一次发客户什么注意边界","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"无机门怎么讲","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"客户问无机门怎么回答","dealer-first-send","经销商第一次发客户什么","dealer","full","generated-standard-route-bank"
"客户短话术怎么写","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"给我一段客户能听懂的短话术，一句话或 100 字以内。","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写怎么讲","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写怎么给客户讲","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写完整讲一下","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写详细讲一下","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写标准文案","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写标准答案","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写客户问怎么回答","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写经销商话术","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写门店怎么说","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写朋友圈怎么发","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写短视频怎么讲","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写配什么图","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写给客户看什么资料","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写和普通材料有什么区别","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户问客户短话术怎么写","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"给客户介绍客户短话术怎么写","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"帮我讲客户短话术怎么写","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写是不是宣传","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写有什么优势","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户短话术怎么写注意边界","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"门墙柜一体化怎么讲","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"客户问门墙柜一体化怎么回答","customer-material-short","客户短话术怎么写","waterproof","full","generated-standard-route-bank"
"朋友圈文案怎么写","moments-copy-request","朋友圈文案怎么写","dealer","full","generated-standard-route-bank"
"经销商朋友圈、短视频口播、客户转发文案怎么写？","moments-copy-request","朋友圈文案怎么写","dealer","full","generated-standard-route-bank"
"朋友圈文案怎么写怎么讲","moments-copy-request","朋友圈文案怎么写","dealer","full","generated-standard-route-bank"
"朋友圈文案怎么写怎么给客户讲","moments-copy-request","朋友圈文案怎么写","dealer","full","generated-standard-route-bank"
"朋友圈文案怎么写完整讲一下","moments-copy-request","朋友圈文案怎么写","dealer","full","generated-standard-route-bank"
"朋友圈文案怎么写详细讲一下","moments-copy-request","朋友圈文案怎么写","dealer","full","generated-standard-route-bank"
"朋友圈文案怎么写标准文案","moments-copy-request","朋友圈文案怎么写","dealer","full","generated-standard-route-bank"
"朋友圈文案怎么写标准答案","moments-copy-request","朋友圈文案怎么写","dealer","full","generated-standard-route-bank"
"朋友圈文案怎么写客户问怎么回答","moments-copy-request","朋友圈文案怎么写","dealer","full","generated-standard-route-bank"
